,ACCP.PA,ADP.PA,AIR.PA,AIRP.PA,AKE.PA,AMUN.PA,ATAR.PA,ATOS.PA,AUBT.PA,AUER.PA,AXAF.PA,BGBN.PA,BICP.PA,BIOX.PA,BNPP.PA,BOIR.PA,BOUY.PA,BVI.PA,CAGR.PA,CAPP.PA,CARR.PA,DANO.PA,DAST.PA,EDEN.PA,ENGIE.PA,EPED.PA,ESLX.PA,EUFI.PA,EXHO.PA,FOUG.PA,GETP.PA,GFCP.PA,HRMS.PA,JCDX.PA,LEGD.PA,LVMH.PA,MICP.PA,MT.AS,ORAN.PA,OREP.PA,ORP.PA,PERP.PA,PRTP.PA,PUBP.PA,RENA.PA,SAF.PA,SASY.PA,SCHN.PA,SCOR.PA,SEVI.PA,SGEF.PA,SGOB.PA,SOGN.PA,SOLB.BR,STDM.PA,STLA.PA,STM.PA,TCFP.PA,TEPRF.PA,UBIP.PA,URW.AS,VIE.PA,VIV.PA,VLOF.PA,WLN.PA
GROWTH_YEAR-1_0,40.03457643862682,45.46808510638298,70.81926274865916,93.45346715328468,90.22659647516595,94.97476871320437,87.5,96.48774594408009,102.15827338129496,78.26086956521739,84.62687124351365,111.02661596958175,83.47870702924577,116.60433807030665,88.46771872601688,92.10053859964093,91.47090616678531,90.23337909393999,,112.19823008849558,97.31326373715304,93.4076798354886,110.80139372822299,90.09840098400984,92.82859902094641,81.29221071589375,82.97297297297297,119.20210434020167,88.00674136831557,89.13322632423755,75.11520737327189,98.09104258443466,92.82289699259044,60.19501003728133,92.10208396254907,83.19545369852804,84.81044126786824,75.4372300502726,100.07576116293384,93.70334415693101,104.8663101604278,104.45075757575758,82.47812126172637,98.06381238069267,78.27934530133065,66.26424416288151,99.30376551247642,92.63936961484646,102.74392074452116,95.52595059672495,90.10727544971591,89.55911023418598,,86.52355927674357,132.63888888888889,80.1168347398486,106.93804939305149,92.321069507092,107.04014939309057,139.46047678795483,78.28402366863905,95.66352802707077,101.20769908164549,84.38671253273091,115.37169256614868
GROWTH_YEAR-1_1,123.36989640463132,117.29473421512354,110.6283453937558,104.32630526866879,99.11524500907441,100.33755274261604,120.0,108.82794891059353,104.25,84.7926267281106,124.38473968684411,107.34693877551021,100.0,110.45022717885172,113.18286078801286,92.21854304635761,106.676979327802,106.33993743482795,,107.03190118966432,99.96764015856323,102.58001703784836,115.55939027897612,117.99709724238026,105.42594835606579,101.39237616982425,160.52801624665375,120.65591113462047,107.5807321017298,110.65719360568383,100.55607043558851,102.25225225225225,115.37043245055314,109.6196164728073,110.4218776054694,114.6158117285269,109.56509896495369,92.87414675206819,102.07099876755032,110.89950625533653,109.38871014916643,92.00609888913091,116.23124771313574,110.55170334639735,96.7223392953552,119.37217598097503,105.47691790229,105.59097978227061,105.86029365028921,103.94668513069067,110.42081898894727,101.91267295446929,,99.36277546685547,118.81188118811882,97.98482049052639,98.88245033112582,116.06534628484926,120.58095023643324,86.39566395663957,123.62838332114119,104.7666756579708,114.11139821992535,101.84584814892283,138.43023255813952
GROWTH_YEAR-1_2,118.3129055515501,110.78241636715511,107.93771813899902,103.25323111700821,105.88517895748258,117.41392122863512,111.11111111111111,88.76292097365788,113.31444759206799,106.89655172413794,81.02669837161002,100.0,95.49240568348849,105.81293706293707,101.79328829388928,97.89303079416531,107.99441120189533,102.26060993815312,,105.36526946107784,91.5912318616857,99.35112042560051,107.71375464684014,104.39393939393939,95.62071975292064,103.31328852729631,117.9551393728223,127.2635476270616,98.59406705961929,109.903695991671,104.55426356589147,118.50533807829181,107.51486754370157,103.95424836601308,108.6413043478261,109.82737592644713,100.30965391621129,110.7077854948383,101.27756430651753,103.5122776005841,108.95474824729126,105.27401972024765,126.35228848821082,97.12082764005466,97.70120809937043,128.38910600879336,98.4981088318931,103.94859152083417,102.47508630235133,109.80802128872838,108.01448282610824,102.36216613575104,,102.86780772032047,112.11840888066605,104.42826066395536,115.77812387684197,104.11768568989295,106.24401913875599,106.58578856152513,131.56881616939364,104.56523491014586,111.44708423326134,103.46245401428263,110.82474226804123
GROWTH_YEAR-1_3,168.52976913730257,122.73498473023413,88.64691128099608,112.21462446233595,110.49767750497678,149.57391626528343,120.0,98.8382631622312,108.28220858895706,126.875,103.96238666322452,117.78846153846153,100.79012345679013,108.79695672848312,72.51370007113017,100.48859934853421,103.63573407202216,103.07759947241152,,99.88834835313821,102.79406910909691,113.06963179001093,105.66284779050737,115.89113257243196,91.88155459592843,90.6574024585783,129.07940969782152,117.15299684542586,102.23758952827859,107.41595023415111,100.87976539589442,111.72962226640159,106.67051134179162,102.89172831203766,110.00398565165405,113.3936170212766,105.0365906155833,120.9328942966315,99.85580917933427,104.44292823888264,110.45406546990496,96.80355160932298,87.33042635658914,105.27072844960443,114.68883554827,99.35687416575658,104.39531934516947,101.16112678359704,106.3963963963964,103.0087455945699,106.04197473214518,104.3920906556161,,109.34793429566949,102.85442435775452,99.93572657328116,119.70457478846981,102.30448804084924,114.55193203617429,118.64290610006854,117.40112994350282,102.60883945921363,115.54672335705703,111.89539318360676,118.56378915202444
LATEST_0,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Mar-21,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Mar-21,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Aug-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,30-Jun-21,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Mar-21,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20,31-Dec-20
LATEST_1,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Mar-20,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Mar-20,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Aug-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,30-Jun-20,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Mar-20,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19,31-Dec-19
LATEST_2,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Mar-19,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Mar-19,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Aug-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,30-Jun-19,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Mar-19,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18,31-Dec-18
LATEST_3,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Mar-18,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Mar-18,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Aug-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,30-Jun-18,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-16,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-16,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Mar-18,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17,31-Dec-17
LEADER_AGE_AVG,52.714285714285715,54.3,57.5,57.11538461538461,56.0,59.625,52.5,57.8,73.0,56.0,58.0,51.833333333333336,51.833333333333336,57.09090909090909,58.0,59.25,57.04545454545455,57.69230769230769,60.1,60.05555555555556,57.77777777777778,55.30769230769231,60.2,55.411764705882355,58.56521739130435,57.583333333333336,59.05882352941177,61.857142857142854,57.38461538461539,61.4,59.4,63.0,52.458333333333336,55.833333333333336,58.35294117647059,60.23076923076923,58.07692307692308,58.0,53.285714285714285,53.857142857142854,54.38461538461539,52.86666666666667,52.588235294117645,59.44444444444444,55.45652173913044,59.73684210526316,57.75,54.851851851851855,52.31578947368421,57.80952380952381,60.65384615384615,57.45454545454545,55.425,59.166666666666664,57.57142857142857,56.095238095238095,58.70967741935484,60.94444444444444,63.333333333333336,55.357142857142854,56.5625,61.294117647058826,54.85,57.5,56.95652173913044
LEADER_APPOINTED_AVG,2018.1333333333334,2017.3666666666666,2018.0416666666667,2017.2307692307693,2016.4,2017.825,2016.5,2018.6875,2014.25,2010.0,2018.3548387096773,2011.3,2017.3125,2016.6,2016.7837837837837,2010.125,2018.095238095238,2017.8,2017.2549019607843,2018.0588235294117,2017.6129032258063,2018.2307692307693,2016.3636363636363,2017.0434782608695,2017.6538461538462,2016.7272727272727,2018.6190476190477,2015.2,2016.7916666666667,2017.125,2017.2608695652175,2017.4285714285713,2013.2173913043478,2015.9444444444443,2017.0,2012.72,2017.9285714285713,2017.2142857142858,2017.2592592592594,2018.6666666666667,2017.0,2018.3846153846155,2015.9130434782608,2017.7058823529412,2018.313725490196,2017.578947368421,2017.8846153846155,2017.68,2018.1666666666667,2018.2916666666667,2017.975,2017.4137931034484,2017.8285714285714,2015.65,2016.625,2021.0,2017.3870967741937,2015.9,2016.9333333333334,2016.9285714285713,2019.875,2015.695652173913,2016.7142857142858,2016.375,2018.5483870967741
