NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE
Sempra Energy;Utilities;Multi-Utilities;SRE.N;SRE
ServiceNow;Information Technology;Systems Software;NOW.N;NOW
Sherwin-Williams;Materials;Specialty Chemicals;SHW.N;SHW
Simon Property Group;Real Estate;Retail REITs;SPG.N;SPG
Skyworks Solutions;Information Technology;Semiconductors;SWKS.N;SWKS
Snap-on;Industrials;Industrial Machinery;SNA.N;SNA
Southern Company;Utilities;Electric Utilities;SO.N;SO
Southwest Airlines;Industrials;Airlines;LUV.N;LUV
Stanley Black & Decker;Industrials;Industrial Machinery;SWK.N;SWK
Starbucks;Consumer Discretionary;Restaurants;SBUX.N;SBUX
State Street Corporation;Financials;Asset Management & Custody Banks;STT.N;STT
Steris;Health Care;Health Care Equipment;STE.N;STE
Stryker Corporation;Health Care;Health Care Equipment;SYK.N;SYK
SVB Financial;Financials;Regional Banks;SIVB.N;SIVB
Synchrony Financial;Financials;Consumer Finance;SYF.N;SYF
Synopsys;Information Technology;Application Software;SNPS.N;SNPS
Sysco;Consumer Staples;Food Distributors;SYY.N;SYY
T-Mobile US;Communication Services;Wireless Telecommunication Services;TMUS.N;TMUS
T. Rowe Price;Financials;Asset Management & Custody Banks;TROW.N;TROW
Take-Two Interactive;Communication Services;Interactive Home Entertainment;TTWO.N;TTWO
Tapestry;Consumer Discretionary;Apparel, Accessories & Luxury Goods;TPR.N;TPR
Target;Consumer Discretionary;General Merchandise Stores;TGT.N;TGT
TE Connectivity;Information Technology;Electronic Manufacturing Services;TEL.N;TEL
Teledyne Technologies;Industrials;Aerospace & Defense;TDY.N;TDY
Teleflex;Health Care;Health Care Equipment;TFX.N;TFX
Teradyne;Information Technology;Semiconductor Equipment;TER.N;TER
Tesla;Consumer Discretionary;Automobile Manufacturers;TSLA.N;TSLA
Texas Instruments;Information Technology;Semiconductors;TXN.N;TXN
Textron;Industrials;Aerospace & Defense;TXT.N;TXT
Thermo Fisher Scientific;Health Care;Life Sciences Tools & Services;TMO.N;TMO
TJX Companies;Consumer Discretionary;Apparel Retail;TJX.N;TJX
Tractor Supply Company;Consumer Discretionary;Specialty Stores;TSCO.N;TSCO
Trane Technologies;Industrials;Building Products;TT.N;TT
TransDigm Group;Industrials;Aerospace & Defense;TDG.N;TDG
The Travelers Companies;Financials;Property & Casualty Insurance;TRV.N;TRV
Trimble;Information Technology;Electronic Equipment & Instruments;TRMB.N;TRMB
Truist Financial;Financials;Regional Banks;TFC.N;TFC
Twitter;Communication Services;Interactive Media & Services;TWTR.N;TWTR
Tyler Technologies;Information Technology;Application Software;TYL.N;TYL
Tyson Foods;Consumer Staples;Packaged Foods & Meats;TSN.N;TSN
UDR;Real Estate;Residential REITs;UDR.N;UDR
Ulta Beauty;Consumer Discretionary;Specialty Stores;ULTA.N;ULTA
U.S. Bancorp;Financials;Diversified Banks;USB.N;USB
Under Armourÿ(Class A);Consumer Discretionary;Apparel, Accessories & Luxury Goods;UAA.N;UAA
Under Armourÿ(Class C);Consumer Discretionary;Apparel, Accessories & Luxury Goods;UA.N;UA
Union Pacific;Industrials;Railroads;UNP.N;UNP
United Airlines;Industrials;Airlines;UAL.N;UAL
UnitedHealth Group;Health Care;Managed Health Care;UNH.N;UNH
United Parcel Service;Industrials;Air Freight & Logistics;UPS.N;UPS
United Rentals;Industrials;Trading Companies & Distributors;URI.N;URI
Universal Health Services;Health Care;Health Care Facilities;UHS.N;UHS
Valero Energy;Energy;Oil & Gas Refining & Marketing;VLO.N;VLO
Ventas;Real Estate;Health Care REITs;VTR.N;VTR
Verisign;Information Technology;Internet Services & Infrastructure;VRSN.N;VRSN
Verisk Analytics;Industrials;Research & Consulting Services;VRSK.N;VRSK
Verizon Communications;Communication Services;Integrated Telecommunication Services;VZ.N;VZ
Vertex Pharmaceuticals;Health Care;Biotechnology;VRTX.N;VRTX
VF Corporation;Consumer Discretionary;Apparel, Accessories & Luxury Goods;VFC.N;VFC
ViacomCBS;Communication Services;Movies & Entertainment;VIAC.N;VIAC
Viatris;Health Care;Pharmaceuticals;VTRS.N;VTRS
Visa;Information Technology;Data Processing & Outsourced Services;V.N;V
Vornado Realty Trust;Real Estate;Office REITs;VNO.N;VNO
Vulcan Materials;Materials;Construction Materials;VMC.N;VMC
W. R. Berkley Corporation;Financials;Property & Casualty Insurance;WRB.N;WRB
Wabtec;Industrials;Construction Machinery & Heavy Trucks;WAB.N;WAB
Walmart;Consumer Staples;Hypermarkets & Super Centers;WMT.N;WMT
Walgreens Boots Alliance;Consumer Staples;Drug Retail;WBA.N;WBA
The Walt Disney Company;Communication Services;Movies & Entertainment;DIS.N;DIS
Waste Management;Industrials;Environmental & Facilities Services;WM.N;WM
Waters Corporation;Health Care;Health Care Distributors;WAT.N;WAT
WEC Energy Group;Utilities;Electric Utilities;WEC.N;WEC
Wells Fargo;Financials;Diversified Banks;WFC.N;WFC
Welltower;Real Estate;Health Care REITs;WELL.N;WELL
West Pharmaceutical Services;Health Care;Health Care Supplies;WST.N;WST
Western Digital;Information Technology;Technology Hardware, Storage & Peripherals;WDC.N;WDC
Western Union;Information Technology;Data Processing & Outsourced Services;WU.N;WU
WestRock;Materials;Paper Packaging;WRK.N;WRK
Weyerhaeuser;Real Estate;Specialized REITs;WY.N;WY
Whirlpool Corporation;Consumer Discretionary;Household Appliances;WHR.N;WHR
Williams Companies;Energy;Oil & Gas Storage & Transportation;WMB.N;WMB
Willis Towers Watson;Financials;Insurance Brokers;WLTW.N;WLTW
Wynn Resorts;Consumer Discretionary;Casinos & Gaming;WYNN.N;WYNN
Xcel Energy;Utilities;Multi-Utilities;XEL.N;XEL
Xilinx;Information Technology;Semiconductors;XLNX.N;XLNX
Xylem;Industrials;Industrial Machinery;XYL.N;XYL
Yum! Brands;Consumer Discretionary;Restaurants;YUM.N;YUM
Zebra Technologies;Information Technology;Electronic Equipment & Instruments;ZBRA.N;ZBRA
Zimmer Biomet;Health Care;Health Care Equipment;ZBH.N;ZBH
Zions Bancorp;Financials;Regional Banks;ZION.N;ZION
Zoetis;Health Care;Pharmaceuticals;ZTS.N;ZTS
