NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE
Apple;Information Technology;Technology Hardware, Storage & Peripherals;AAPL.N;AAPL
Applied Materials;Information Technology;Semiconductor Equipment;AMAT.N;AMAT
Aptiv;Consumer Discretionary;Auto Parts & Equipment;APTV.N;APTV
ADM;Consumer Staples;Agricultural Products;ADM.N;ADM
Arista Networks;Information Technology;Communications Equipment;ANET.N;ANET
Arthur J. Gallagher & Co.;Financials;Insurance Brokers;AJG.N;AJG
Assurant;Financials;Multi-line Insurance;AIZ.N;AIZ
AT&T;Communication Services;Integrated Telecommunication Services;T.N;T
Atmos Energy;Utilities;Gas Utilities;ATO.N;ATO
Autodesk;Information Technology;Application Software;ADSK.N;ADSK
Automatic Data Processing;Information Technology;Data Processing & Outsourced Services;ADP.N;ADP
AutoZone;Consumer Discretionary;Specialty Stores;AZO.N;AZO
AvalonBay Communities;Real Estate;Residential REITs;AVB.N;AVB
Avery Dennison;Materials;Paper Packaging;AVY.N;AVY
Baker Hughes;Energy;Oil & Gas Equipment & Services;BKR.N;BKR
Ball Corp;Materials;Metal & Glass Containers;BLL.N;BLL
Bank of America;Financials;Diversified Banks;BAC.N;BAC
Bath & Body Works;Consumer Discretionary;Specialty Stores;BBWI.N;BBWI
Baxter International;Health Care;Health Care Equipment;BAX.N;BAX
Becton Dickinson;Health Care;Health Care Equipment;BDX.N;BDX
Berkshire Hathaway;Financials;Multi-Sector Holdings;BRKA.N;BRK-B
Best Buy;Consumer Discretionary;Computer & Electronics Retail;BBY.N;BBY
Bio-Rad Laboratories;Health Care;Life Sciences Tools & Services;BIO.N;BIO
Bio-Techne;Health Care;Life Sciences Tools & Services;TECH.N;TECH
Biogen;Health Care;Biotechnology;BIIB.N;BIIB
BlackRock;Financials;Asset Management & Custody Banks;BLK.N;BLK
BNY Mellon;Financials;Asset Management & Custody Banks;BK.N;BK
Boeing;Industrials;Aerospace & Defense;BA.N;BA
Booking Holdings;Consumer Discretionary;Internet & Direct Marketing Retail;BKNG.N;BKNG
BorgWarner;Consumer Discretionary;Auto Parts & Equipment;BWA.N;BWA
Boston Properties;Real Estate;Office REITs;BXP.N;BXP
Boston Scientific;Health Care;Health Care Equipment;BSX.N;BSX
Bristol Myers Squibb;Health Care;Health Care Distributors;BMY.N;BMY
Broadcom;Information Technology;Semiconductors;AVGO.N;AVGO
Broadridge Financial Solutions;Information Technology;Data Processing & Outsourced Services;BR.N;BR
Brown & Brown;Financials;Insurance Brokers;BRO.N;BRO
Brown?Forman;Consumer Staples;Distillers & Vintners;BFA.N;BF-B
C. H. Robinson;Industrials;Air Freight & Logistics;CHRW.N;CHRW
Cadence Design Systems;Information Technology;Application Software;CDNS.N;CDNS
Caesars Entertainment;Consumer Discretionary;Casinos & Gaming;CZR.O;CZR
Campbell Soup;Consumer Staples;Packaged Foods & Meats;CPB.N;CPB
Capital One;Financials;Consumer Finance;COF.N;COF
Cardinal Health;Health Care;Health Care Distributors;CAH.N;CAH
CarMax;Consumer Discretionary;Specialty Stores;KMX.N;KMX
Carnival Corporation;Consumer Discretionary;Hotels, Resorts & Cruise Lines;CCL.N;CCL
Carrier Global;Industrials;Building Products;CARR.N;CARR
Catalent;Health Care;Pharmaceuticals;CTLT.N;CTLT
Caterpillar;Industrials;Construction Machinery & Heavy Trucks;CAT.N;CAT
Cboe Global Markets;Financials;Financial Exchanges & Data;CBOE.N;CBOE
CBRE;Real Estate;Real Estate Services;CBRE.N;CBRE
CDW;Information Technology;Technology Distributors;CDW.N;CDW
Celanese;Materials;Specialty Chemicals;CE.N;CE
Centene;Health Care;Managed Health Care;CNC.N;CNC
CenterPoint Energy;Utilities;Multi-Utilities;CNP.N;CNP
Ceridian;Information Technology;Application Software;CDAY.N;CDAY
