Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
0;NESTLE;Food, Beverage and Tobacco;CH;NESN.S;NESN.SW;NESN.S
1;ASML HLDG;Technology;NL;ASML.AS;ASML.AS;ASML.AS, ASML.A
2;ROCHE HLDG P;Health Care;CH;ROG.S;ROG.SW;ROG.S, RO.S
3;NOVARTIS;Health Care;CH;NOVN.S;NOVN.SW;NOVN.S, NOVNEE.S
4;NOVO NORDISK B;Health Care;DK;NOVOB.CO;NOVO-B.CO;NOVOB.CO
5;ASTRAZENECA;Health Care;GB;AZN.L;AZN.L;AZN.L
6;LINDE;Chemicals;DE;LINI.DE;LIN.DE;
7;SAP;Technology;DE;SAPG.DE;SAP.DE;SAPGY_P.BE, SAPG.BE
8;UNILEVER PLC;Personal Care, Drug and Grocery Stores;GB;ULVR.L;ULVR.L;ULVR.L
9;SIEMENS;Industrial Goods and Services;DE;SIEGN.DE;SIE.DE;SIEGN.BE
10;HSBC;Banks;GB;HSBA.L;HSBA.L;HSBA.L, 77KB.L
11;DIAGEO;Food, Beverage and Tobacco;GB;DGE.L;DGE.L;DGE.L
12;GLAXOSMITHKLINE;Health Care;GB;GSK.L;GSK.L;GSK.L
13;ALLIANZ;Insurance;DE;ALVG.BE;ALV.DE;ALVG.BE
14;BP;Energy;GB;BP.L;BP.L;BP.L, BP_P.L, BP_PB.L
15;ROYAL DUTCH SHELL A;Energy;GB;RDSA.L;RDSA.L;RDSA.L
16;DAIMLER;Automobiles and Parts;DE;DAIGN.DE;DAI.DE;DAIGN.BE
17;ADYEN;Industrial Goods and Services;NL;ADYEN.AS;ADYEN.AS;ADYEN.AS
18;CIE FINANCIERE RICHEMONT;Consumer Products and Services;CH;CFR.S;CFRHF;
19;Prosus;Technology;NL;PRX.AS;PRX.AS;PRX.AS
20;BRITISH AMERICAN TOBACCO;Food, Beverage and Tobacco;GB;BATS.L;BATS.L;BATS.L
21;IBERDROLA;Utilities;ES;IBE.MC;IBE.MC;
22;BASF;Chemicals;DE;BASFN.DE;BAS.DE;BASFY.BE, BASFN.BE
23;ZURICH INSURANCE GROUP;Insurance;CH;ZURN.S;ZURN.SW;ZURN.S
24;RIO TINTO;Basic Resources;GB;RIO.L;RIO.L;
25;INFINEON TECHNOLOGIES;Technology;DE;IFXGN.DE;IFX.DE;IFXGY.BE, IFXGN.BE
26;RELX PLC;Media;GB;REL.L;REL.L;REL.L
27;DEUTSCHE POST;Industrial Goods and Services;DE;DPWGN.DE;DPW.DE;DPWGN.BE
28;DEUTSCHE TELEKOM;Telecommunications;DE;DTEGN.DE;DTE.DE;DTEAY.BE, DTEGN.BE
29;BCO SANTANDER;Banks;ES;SAN.MC;SAN.MC;
30;ENEL;Utilities;IT;ENEI.MI;ENEL.MI;ENEI.MI, ENEITAH.MI
31;UBS GROUP;Financial Services;CH;UBSG.S;UBSG.SW;UBSG.S, UBSGE.S
32;RECKITT BENCKISER GRP;Personal Care, Drug and Grocery Stores;GB;RB.L;RKT.L;RB.L
33;ADIDAS;Consumer Products and Services;DE;ADSGN.DE;ADS.DE;ADSGN.BE
34;LONZA;Health Care;CH;LONN.S;LONN.SW;LONN.S
35;ING GRP;Banks;NL;INGA.AS;INGA.AS;ING.A, INGA.AS
36;ABB;Industrial Goods and Services;CH;ABBN.S;ABBN.SW;ABBN.S
37;BAYER;Health Care;DE;BAYGN.DE;BAYN.DE;BAYGY.BE, BAYGN.BE
38;BHP GROUP PLC.;Basic Resources;GB;BHPB.L;BHP;BHPB.L
39;GLENCORE PLC;Basic Resources;GB;GLEN.L;GLEN.L;GLEN.L, 0IVW.L
40;PRUDENTIAL;Insurance;GB;PRU.L;PRU.L;PRU.L
41;SIKA;Construction and Materials;CH;SIKA.S;SIKA.SW;SIKA.S
42;INTESA SANPAOLO;Banks;IT;ISP.MI;ISP.MI;ISP.MI
43;ANHEUSER-BUSCH INBEV;Food, Beverage and Tobacco;BE;ABI.BR;ABI.BR;ABI.BR
44;ANGLO AMERICAN;Basic Resources;GB;AAL.L;AAL.L;AAL.L
45;DSV;Industrial Goods and Services;DK;DSV.CO;DSV.CO;
46;NATIONAL GRID;Utilities;GB;NG.L;NG.L;NG.L
47;LLOYDS BANKING GRP;Banks;GB;LLOY.L,;LLOY.L,;LLOY.L, LLOY_PA.L, LLOY_PB.L, LLOY_PE.L
48;BCO BILBAO VIZCAYA ARGENTARIA;Banks;ES;BBVA.MC;BBVA.MC;
49;INVESTOR B;Financial Services;SE;INVEB.ST;INVE-B.ST;INVEB.ST, INVEA.ST
50;EXPERIAN;Industrial Goods and Services;GB;EXPN.L;EXPN.L;EXPN.L
51;NORDEA BANK;Banks;FI;NDAFI.HE;NDA-FI.HE;NDAFI.HE
52;VODAFONE GRP;Telecommunications;GB;VOD.L;VOD.L;VOD.L
53;PHILIPS;Health Care;NL;PHG.AS;PHIA.AS;PHG.AS, PHG.A
54;STELLANTIS;Automobiles and Parts;IT;STLA.N;STLA.MI;
55;ATLAS COPCO A;Industrial Goods and Services;SE;ATCOA.ST;ATCO-A.ST;ATCOA.ST, ATCOB.ST
56;BARCLAYS;Banks;GB;BARC.L;BARC.L;BARC.L
57;MUENCHENER RUECK;Insurance;DE;MUVGN.DE;MUV2.DE;
58;ALCON;Health Care;CH;ALCC.S;ALC.SW;ALCC.S
59;CRH;Construction and Materials;IE;CRH.I;CRG.IR;CRH.I, CRH_P.I, CRH_PA.I
60;Industria de Diseno Textil SA;Retail;ES;ITX.MC;ITX.MC;
61;PARTNERS GRP HLDG;Financial Services;CH;PGHN.S;PGHN.SW;PGHN.S
62;EQT;Financial Services;SE;EQTAB.ST;EQT.ST;EQTAB.ST
63;VOLKSWAGEN PREF;Automobiles and Parts;DE;VOWG.DE;VOW3.DE;VOWG.BE, VOWG_P.BE
64;ASHTEAD GRP;Industrial Goods and Services;GB;AHT.L;AHT.L;AHT.L
65;KONINKLIJKE DSM;Food, Beverage and Tobacco;NL;DSMN.AS;DSM.AS;DSMN.AS
66;GIVAUDAN;Chemicals;CH;GIVN.S;GIVN.SW;GIVN.S
67;VOLVO B;Industrial Goods and Services;SE;VOLVB.ST;VOLV-B.ST;VOLVB.ST, VOLVA.ST
68;VESTAS WIND SYSTEMS;Energy;DK;VWS.CO;VWS.CO;VWS.CO
69;FERGUSON PLC;Industrial Goods and Services;GB;FERG.L;FERG.L;FERG.L
70;COMPASS GRP;Consumer Products and Services;GB;CPG.L;CPG.L;CPG.L
71;ENI;Energy;IT;ENI.MI;ENI.MI;ENI.MI, ENITAH.MI
72;AHOLD DELHAIZE;Personal Care, Drug and Grocery Stores;NL;AD.AS;AD.AS;AD.AS
73;BMW;Automobiles and Parts;DE;BMWG.DE;BMW.DE;
74;ERICSSON LM B;Telecommunications;SE;ERICB.ST;ERIC-B.ST;ERICB.ST
75;STMICROELECTRONICS;Technology;IT;STM.PA;STM.PA;STM.MI
76;CELLNEX TELECOM;Telecommunications;ES;CLNX.MC;CLNX.MC;
77;DEUTSCHE BOERSE;Financial Services;DE;DB1GN.DE;DB1.DE;DB1GN.BE
78;AMADEUS IT GROUP;Technology;ES;AMA.MC;AMS.MC;
79;Vonovia SE;Real Estate;DE;VNAN.DE;VNA.DE;VNAN.BE
80;MERCK;Health Care;DE;MRCG.DE;MRC.DE;MRCG.BE
81;FERRARI;Automobiles and Parts;IT;RACE.MI;RACE.MI;RACE.MI
82;EVOLUTION;Travel and Leisure;SE;EVOG.ST;EVO.ST;
83;HEXAGON B;Technology;SE;HEXAB.ST;HEXA-B.ST;HEXAB.ST
84;NOKIA;Telecommunications;FI;NOKIA.HE;NOKIA.HE;NOKIA.HE, NOKS.H
85;ASSA ABLOY;Construction and Materials;SE;ASSAB.ST;ASSA-B.ST;ASSAB.ST
86;LONDON STOCK EXCHANGE;Financial Services;GB;LSE.L;LSEG.L;LSE.L
87;Holcim;Construction and Materials;CH;HOLN.F;HOLN.SW;
88;UNICREDIT;Banks;IT;CRDI.MI;UCG.MI;CRDI.MI, CRDITAH.MI
89;WOLTERS KLUWER;Media;NL;WLSNC.AS;WKL.AS;WLSNC.AS
90;TESCO;Personal Care, Drug and Grocery Stores;GB;TSCO.L;TSCO.L;TSCO.L, 83HC.L, 84FX.L
91;GEBERIT;Construction and Materials;CH;GEBN.S;GEBN.SW;GEBN.S
92;FLUTTER ENTERTAINMENT;Travel and Leisure;IE;FLTRE.I;FLTR.IR;FLTRE.I
93;GENMAB;Health Care;DK;GMAB.CO;GMAB.CO;GMAB.CO
94;KONE B;Industrial Goods and Services;FI;KNEBV.HE;KNEBV.HE;KNEBV.HE
95;SANDVIK;Industrial Goods and Services;SE;SAND.ST;SAND.ST;SAND.ST
96;ASSICURAZIONI GENERALI;Insurance;IT;GASI.MI;G.MI;GASI.MI
97;SWISS REINSURANCE COMPANY;Insurance;CH;SRENH.S;SREN.SW;
98;EQUINOR;Energy;NO;EQNR.OL;EQNR.OL;EQNR.OL, BULLEQNRDNM.OL
99;E.ON;Utilities;DE;EONGN.DE;EOAN.DE;EONGNY.BE, EONGN.BE
100;HEINEKEN;Food, Beverage and Tobacco;NL;HEIN.AS;HEIA.AS;HEIN.AS
101;DEUTSCHE BANK;Banks;DE;DBKGN.DE;DBK.DE;DBKGN.BE
102;ORSTED;Utilities;DK;ORSTED.CO;ORSTED.CO;ORSTED.CO
103;SKANDINAVISKA ENSKILDA BK A;Banks;SE;SEBA.ST;SEB-A.ST;SEBA.ST, SEBC.ST
104;SAMPO;Insurance;FI;SAMPO.HE;SAMPO.HE;SAMPO.HE
105;DELIVERY HERO;Consumer Products and Services;DE;DHER.DE;DHER.DE;
106;TELEFONICA;Telecommunications;ES;TEF.MC;TEF.MC;
107;STRAUMANN;Health Care;CH;STMN.S;STMN.SW;STMN.S
108;RWE;Utilities;DE;RWEG.DE;RWE.DE;RWEG.BE
109;BAE SYSTEMS;Industrial Goods and Services;GB;BAES.L;BAES.L;BAES.L
110;UMG;Media;NL;UMG.AS;UMG.AS;
111;CREDIT SUISSE GRP;Financial Services;CH;CSGN.S;CSGN.SW;
112;LEGAL & GENERAL GRP;Insurance;GB;LGEN.L;LGEN.L;LGEN.L
113;KBC GRP;Banks;BE;KBC.BR;KBC.BR;KBC.BR
114;SONOVA;Health Care;CH;SOON.S;SOON.SW;SOON.S
115;SCOTTISH & SOUTHERN ENERGY;Utilities;GB;SSE.L;SSE.L;
116;NESTE;Energy;FI;NESTE.HE;NESTE.HE;NESTE.HE
117;ASM INTERNATIONAL;Technology;NL;ASMI.AS;ASM.AS;ASMI.AS
118;NIBE INDUSTRIER B;Construction and Materials;SE;NIBEB.ST;NIBE-B.ST;NIBEB.ST, NIBEB.S
119;DNB BANK;Banks;NO;DNB.OL;DNB.OL;DNB.OL
120;AKZO NOBEL;Chemicals;NL;AKZO.AS;AKZA.AS;AKZO.AS
121;SEGRO;Real Estate;GB;SGRO.L;SGRO.L;SGRO.L
122;COLOPLAST B;Health Care;DK;COLOB.CO;COLO-B.CO;COLOB.CO
123;AVIVA;Insurance;GB;AV.L;AV.L;AV.L, AV_P.L, AV_PA.L
124;ARCELORMITTAL;Basic Resources;LU;MT.AS;MT.AS;
125;ZALANDO;Retail;DE;ZALG.DE;ZAL.DE;
126;KERRY GRP;Food, Beverage and Tobacco;IE;KYGA.I;KRZ.IR;KYGA.I
127;SWEDBANK;Banks;SE;SWEDA.ST;SWED-A.ST;SWEDA.ST
128;Essity B;Personal Care, Drug and Grocery Stores;SE;ESSITYA.ST;ESSITY-A.ST;ESSITYA.ST, ESSITYB.ST
129;UPM KYMMENE;Basic Resources;FI;UPM.HE;UPM.HE;UPM.HE
130;IMPERIAL BRANDS;Food, Beverage and Tobacco;GB;IMB.L;IMB.L;IMB.L
131;SIEMENS HEALTHINEERS;Health Care;DE;SHLG.DE;SHL.DE;
132;A.P.MOLLER-MAERSK B;Industrial Goods and Services;DK;MAERSKB.CO;MAERSK-B.CO;
133;3I GROUP PLC.;Financial Services;GB;III.L;III.L;III.L, BS41.L
134;CRODA INTERNATIONAL;Chemicals;GB;CRDA.L;CRDA.L;CRDA.L, 49GP_P.L, 50GP_P.L
135;SGS;Industrial Goods and Services;CH;SGSN.S;SGSN.SW;SGSN.S
136;CNH Industrial NV;Industrial Goods and Services;IT;CNHI.MI;CNHI.MI;CNHI.MI, CNHITAH.MI
137;KUEHNE + NAGEL;Industrial Goods and Services;CH;KNIN.S;KNIN.SW;KNIN.S
138;KINGSPAN GRP;Construction and Materials;IE;KSP.I;KRX.IR;KSP.I
139;FRESENIUS;Health Care;DE;FREG.DE;FRE.DE;FREG.BE
140;SVENSKA HANDELSBANKEN A;Banks;SE;SHBA.ST;SHB-A.ST;SHBA.ST, SHBB.ST
141;WPP;Media;GB;WPP.L;WPP.L;WPP.L
142;SWISS LIFE HLDG;Insurance;CH;SLHN.S;SLHN.SW;
143;SYMRISE;Chemicals;DE;SY1G.DE;SY1.DE;SY1G.BE
144;REPSOL;Energy;ES;REP.MC;REP.MC;
145;CARLSBERG B;Food, Beverage and Tobacco;DK;CARLB.CO;CARL-B.CO;CARLB.CO, CARLA.CO
146;NN GROUP;Insurance;NL;NN.AS;NN.AS;NN.AS
147;HELLOFRESH AG;Personal Care, Drug and Grocery Stores;DE;DHER.DE;DHER.DE;
148;BT GRP;Telecommunications;GB;BT.L;BT-A.L;BT.L
149;MONCLER;Consumer Products and Services;IT;MONC.MI;MONC.MI;MONC.MI
150;SPIRAX-SARCO;Industrial Goods and Services;GB;SPX.L;SPX.L;SPX.L
151;NOVOZYMES;Health Care;DK;NZYMB.CO;NZYM-B.CO;NZYMB.CO
152;EPIROC A;Industrial Goods and Services;SE;EPIRA.ST;EPIR-A.ST;EPIRA.ST
153;ROLLS ROYCE HLDG;Industrial Goods and Services;GB;RR.L;RR.L;RR.L
154;HALMA;Industrial Goods and Services;GB;HLMA.L;HLMA.L;HLMA.L
155;STANDARD CHARTERED;Banks;GB;STAN.L;STAN.L;STAN.L, STAN_P.L, STAN_PA.L
156;FERROVIAL;Construction and Materials;ES;FER.MC;FER.MC;
157;JULIUS BAER GRP;Financial Services;CH;BAER.S;BAER.SW;BAER.S
158;ARGENX;Health Care;BE;ARGX.BR;ARGX.BR;ARGX.BR
159;EDP ENERGIAS DE PORTUGAL;Utilities;PT;EDP.LS;EDP.LS;EDP.LS
160;RENTOKIL INITIAL;Industrial Goods and Services;GB;RTO.L;RTO.L;RTO.L
161;NATWEST GROUP;Banks;GB;NWG.L;NWG.L;
162;ENTAIN;Travel and Leisure;GB;ENT.L;ENT.L;
163;SMITH & NEPHEW;Health Care;GB;SN.L;SN.L;SN.L
164;HENKEL PREF;Consumer Products and Services;DE;HNKG.DE;HNK.DE;HNKG.BE, HNKG_P.BE
165;OCADO;Personal Care, Drug and Grocery Stores;GB;OCDO.L;OCDO.L;OCDO.L
166;UCB;Health Care;BE;UCB.BR;UCB.BR;UCB.BR
167;SARTORIUS PREF.;Health Care;DE;SATG.DE;SAT.DE;SATG.BE, SATG_P.BE
168;PORSCHE PREF;Automobiles and Parts;DE;PSHG_P.DE;PAH3.DE;PSHG_P.BE
169;NEXT;Retail;GB;NXT.L;NXT.L;NXT.L
170;PANDORA;Consumer Products and Services;DK;PNDORA.CO;PNDORA.CO;PNDORA.CO
171;BRENNTAG;Chemicals;DE;BNRGN.DE;BNR.DE;BNRGN.BE
172;SWISSCOM;Telecommunications;CH;SCMN.S;SCMN.SW;SCMN.S
173;HENNES & MAURITZ B;Retail;SE;HMB.ST;HM-B.ST;HMB.ST
174;LOGITECH INTERNATIONAL;Technology;CH;LOGN.S;LOGN.SW;LOGN.S
