Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
266;ELECTROCOMPONENTS;Industrial Goods and Services;GB;ECM.L;ECM.L;ECM.L
267;GN STORE NORD;Health Care;DK;GN.CO;GN.CO;GN.CO
268;FASTIGHETS BALDER B;Real Estate;SE;BALDB.ST;BALD-B.ST;BALDB.ST
269;MEGGITT;Industrial Goods and Services;GB;MGGT.L;MGGT.L;MGGT.L
270;SWISS PRIME SITE;Real Estate;CH;SPSN.S;SPSN.SW;SPSN.S
271;MEDIOBANCA;Financial Services;IT;MDBI.MI;MB.MI;MDBI.MI
272;TAYLOR WIMPEY;Consumer Products and Services;GB;TW.L;TW.L;TW.L
273;ANTOFAGASTA;Basic Resources;GB;ANTO.L;ANTO.L;ANTO.L, 70GD_P.L
274;JD SPORTS FASHION;Retail;GB;JD.L;JD.L;JD.L
275;ASSURA;Real Estate;GB;AGRP.L;AGR.L;AGRP.L
276;GERRESHEIMER;Health Care;DE;GXIG.DE;GXI.DE;GXIG.BE
277;ETS COLRUYT;Personal Care, Drug and Grocery Stores;BE;COLR.BR;COLR.BR;
278;TEAMVIEWER AG;Technology;DE;TMV.DE;TMV.DE;TMV.BE
279;CORBION;Food, Beverage and Tobacco;NL;CORB.AS;CRBN.AS;CORB.AS
280;GALAPAGOS;Health Care;BE;GLPG.AS;GLPG.AS;
281;ASHMORE GRP;Financial Services;GB;ASHM.L;ASHM.L;ASHM.L
282;THG;Personal Care, Drug and Grocery Stores;GB;THG.L;THG.L;
283;ZOOPLUS;Retail;DE;ZO1G.DE;ZO1.DE;ZO1G.BE
284;CLOSE BROTHERS GRP;Banks;GB;CBRO.L;CBG.L;CBRO.L
285;AFRY;Construction and Materials;SE;AFRY.ST;AFRY.ST;
286;Virgin Money UK;Banks;GB;VMUK.L;VMUK.L;VMUK.L
287;NEW WH SMITH;Retail;GB;SMWH.L;SMWH.L;
288;VICTREX;Chemicals;GB;VCTX.L;VCT.L;VCTX.L
289;GRAND CITY PROPERTIES;Real Estate;DE;GYC.DE;GYC.DE;GYC.BE
290;PRIMARY HEALTH PROPS.;Real Estate;GB;PHP.L;PHP.L;PHP.L
291;INMOBILIARIA COLONIAL SOCIMI;Real Estate;ES;COL.MC;COL.MC;
292;DARKTRACE;Technology;GB;DARK.L;DARK.L;
293;VOPAK;Industrial Goods and Services;NL;VOPA.AS;VPK.AS;VOPA.AS
294;QUILTER;Financial Services;GB;QLT.L;QLT.L;QLT.L
295;ISS AS;Industrial Goods and Services;DK;ISS.CO;ISS.CO;ISS.CO
296;GLANBIA;Food, Beverage and Tobacco;IE;GL9.I;GL9.IR;GL9.I
297;PROXIMUS;Telecommunications;BE;PROX.BR;PROX.BR;PROX.BR
298;ENTRA;Real Estate;NO;ENTRA.OL;ENTRA.OL;ENTRA.OL
299;LEONARDO;Industrial Goods and Services;IT;LDOF.MI;LDO.MI;LDOF.MI
300;DR MARTENS;Consumer Products and Services;GB;DOCS.L;DOCS.L;
301;COUNTRYSIDE PROPERTIES PLC;Consumer Products and Services;GB;CSPC.L;CSP.L;CSPC.L
302;KINDRED GROUP;Travel and Leisure;SE;KINDSDB.ST;KINDSD-B.ST;KINDSDB.ST
303;FREENET;Telecommunications;DE;FNTGN.DE;FNTN.DE;FNTGN.BE
304;BRITVIC;Food, Beverage and Tobacco;GB;BVIC.L;BVIC.L;BVIC.L
305;QT GROUP;Technology;FI;QTCOM.HE;QTCOM.HE;QTCOM.HE
306;CD PROJECT SA;Consumer Products and Services;PL;CDR.WA;CDR.WA;CDR.WA
307;CARNIVAL;Travel and Leisure;GB;CCL.L;CCL.L;CCL.L
308;ITALGAS;Utilities;IT;IG.MI;IG.MI;IG.MI
309;ALLREAL HLDG;Real Estate;CH;ALLN.S;ALLN.SW;ALLN.S
310;IWG PLC;Industrial Goods and Services;GB;IWG.L;IWG.L;IWG.L
311;FLUIDRA;Construction and Materials;ES;FLUI.MC;FDR.MC;
312;WIHLBORGS FASTIGHETER;Real Estate;SE;WIHL.ST;WIHL.ST;WIHL.ST
313;BUCHER INDUSTRIES;Industrial Goods and Services;CH;BUCN.S;BUCN.SW;BUCN.S
314;A2A;Utilities;IT;A2.MI;A2A.MI;A2.MI
315;HERA;Utilities;IT;HRA.MI;HER.MI;HRA.MI
316;LONDONMETRIC PROPERTY PLC;Real Estate;GB;LMPL.L;LMP.L;LMPL.L
317;WIZZAIR;Travel and Leisure;GB;WIZZ.L;WIZZ.L;
318;HEXPOL 'B';Basic Resources;SE;HPOLB.ST;HPOL-B.ST;HPOLB.ST
319;ZUR ROSE GROUP;Personal Care, Drug and Grocery Stores;CH;ROSEG.S;ROSEG.SW;ROSEG.S
320;LPP;Consumer Products and Services;PL;LPPP.WA;LPP.WA;LPPP.WA
321;JDE PEET S;Food, Beverage and Tobacco;NL;JDEP.AS;JDEP.AS;
322;FLUGHAFEN ZURICH;Industrial Goods and Services;CH;FHZN.S;FHZN.SW;FHZN.S
323;PROSIEBENSAT.1 MEDIA;Media;DE;PSMGN.DE;PSM.DE;
324;TUI;Travel and Leisure;GB;TUIT.L;TUI.L;TUIT.L
325;VISTRY GROUP;Consumer Products and Services;GB;VTYV.L;VTY.L;VTYV.L
326;SOFTCAT;Technology;GB;SCTS.L;SCT.L;SCTS.L
