,as_of,ticker
1949,2023-02-07,ATO
1950,2023-05-03,ATO
1956,2023-08-02,ATO
1957,2023-11-14,ATO
1962,2024-02-06,ATO
1963,2024-05-08,ATO
1964,2024-08-07,ATO
1968,2025-08-06,ATO
1969,2025-11-14,ATO
1970,2026-02-03,ATO
1971,2026-05-06,ATO
1980,2011-10-27,LMT
1981,2011-02-25,LMT
1982,2017-02-09,LMT
1983,2016-10-27,LMT
1987,2010-02-23,CMCSA
1992,2019-07-23,LMT
1993,2020-10-22,LMT
1994,2021-01-28,LMT
1995,2021-04-21,LMT
2003,2021-07-26,LMT
2004,2023-04-18,LMT
2005,2023-07-19,LMT
2006,2023-10-17,LMT
2007,2024-01-23,LMT
2012,2024-04-23,LMT
2013,2024-07-23,LMT
2016,2026-04-23,LMT
2017,2026-07-23,LMT
2018,2010-10-29,LNT
2019,2011-11-03,LNT
2020,2012-05-04,LNT
2035,2013-02-26,LNT
2036,2014-05-02,LNT
2037,2013-08-02,LNT
2042,2013-11-07,LNT
2048,2016-05-05,LNT
2052,2016-08-02,LNT
2053,2016-11-04,LNT
2054,2017-02-24,LNT
2055,2020-08-10,LNT
2059,2023-02-24,LNT
2060,2022-11-08,LNT
2065,2023-05-05,LNT
2066,2024-08-02,LNT
2076,2025-05-09,LNT
2079,2025-08-08,LNT
2080,2025-11-07,LNT
2081,2026-02-20,LNT
2083,2010-02-26,CMI
2135,2010-08-04,AWK
2136,2010-11-03,AWK
2138,2011-05-04,AWK
2139,2011-08-03,AWK
2146,2012-02-28,AWK
2147,2011-11-02,AWK
2153,2012-05-02,AWK
2154,2012-08-02,AWK
2155,2012-11-07,AWK
2156,2013-05-08,GE
2157,2013-05-07,AWK
2158,2013-08-07,AWK
2160,2013-07-26,GE
2161,2013-11-06,AWK
2162,2014-02-27,AWK
2163,2015-05-06,AWK
2164,2015-08-05,AWK
2167,2014-11-05,AWK
2168,2016-02-25,AWK
2169,2016-05-04,AWK
2172,2016-11-02,AWK
2173,2017-05-03,AWK
2174,2016-08-03,AWK
2175,2017-11-01,AWK
2176,2017-02-21,AWK
2177,2019-02-19,AWK
2185,2018-05-02,AWK
2186,2018-08-01,AWK
2187,2018-10-31,AWK
2191,2019-05-01,AWK
2192,2019-07-31,AWK
2193,2019-10-30,AWK
2194,2020-02-18,AWK
2195,2010-02-26,COF
2198,2020-05-06,AWK
2205,2020-08-05,AWK
2206,2020-11-04,AWK
2207,2021-02-24,AWK
2208,2021-05-03,AWK
2209,2021-08-02,AWK
2210,2021-11-02,AWK
2211,2022-02-16,AWK
2212,2023-07-26,AWK
2215,2023-11-01,AWK
2216,2023-04-26,AWK
2217,2024-07-31,AWK
2218,2024-10-30,AWK
2220,2025-02-19,AWK
2221,2018-11-01,ED
2228,2025-04-30,AWK
2230,2023-05-02,EIX
2236,2025-07-30,AWK
2241,2025-10-29,AWK
2242,2026-02-18,AWK
2243,2026-04-29,AWK
2275,2010-12-17,COO
2286,2009-04-29,LUV
2287,2009-07-23,LUV
2288,2009-10-23,LUV
2289,2010-01-29,LUV
2290,2010-04-26,LUV
2297,2013-02-07,LUV
2298,2012-04-25,LUV
2299,2012-07-27,LUV
2300,2012-10-26,LUV
2301,2014-02-04,LUV
2302,2013-05-02,LUV
2303,2015-02-06,LUV
2307,2016-04-29,LUV
2311,2016-07-28,LUV
2312,2018-08-01,LUV
2313,2020-02-04,LUV
2323,2020-07-27,LUV
2324,2020-10-27,LUV
2333,2021-07-27,LUV
2334,2021-10-26,LUV
2346,2009-09-02,AXP
2347,2011-02-28,AXP
2348,2011-11-02,AXP
2349,2011-05-04,AXP
2350,2012-05-01,AXP
2353,2025-04-25,LUV
2354,2025-07-24,LUV
2355,2025-10-23,LUV
2360,2012-02-24,AXP
2363,2018-05-03,ES
2370,2012-08-02,AXP
2371,2012-10-31,AXP
2372,2013-02-22,AXP
2373,2014-02-25,AXP
2375,2014-04-29,AXP
2376,2014-07-30,AXP
2377,2014-10-28,AXP
2378,2015-02-24,AXP
2379,2015-04-29,AXP
2382,2015-07-29,AXP
2383,2015-10-28,AXP
2402,2014-10-29,EXC
2406,2020-05-08,EXC
2407,2020-08-04,EXC
2424,2023-04-21,AXP
2425,2024-04-19,AXP
2431,2024-07-19,AXP
2432,2024-10-18,AXP
2434,2011-08-05,KKR
2436,2025-02-07,AXP
2437,2025-07-18,AXP
2438,2025-10-17,AXP
2441,2026-02-06,AXP
2442,2026-04-23,AXP
2443,2009-12-17,AZO
2481,2011-02-24,CPT
2554,2010-02-08,BA
2559,2016-11-04,KKR
2730,2013-03-08,IBKR
2885,2021-05-05,MCD
2886,2021-08-04,MCD
2887,2022-08-04,MCD
2888,2022-11-07,MCD
2929,2010-05-10,GS
2938,2016-02-22,GS
2954,2018-11-07,IBKR
3007,2009-12-17,DE
3022,2014-06-09,BBY
