,as_of,ticker
4427,2012-05-10,MTB
4428,2012-11-06,MTB
4433,2012-05-15,IBKR
4434,2012-08-31,IBKR
4436,2012-11-09,IBKR
4437,2013-05-10,IBKR
4438,2013-08-09,IBKR
4439,2017-02-28,IBKR
4448,2021-03-01,IBKR
4625,2009-08-06,BXP
4626,2009-11-05,BXP
4629,2010-05-06,BXP
4630,2010-08-06,BXP
4631,2010-11-05,BXP
4780,2009-07-31,LLY
4781,2009-10-30,LLY
4801,2009-07-31,NEE
4802,2009-10-30,NEE
4803,2010-02-26,NEE
4804,2010-08-06,NEE
4805,2010-11-03,NEE
4814,2012-07-27,NEE
4819,2012-10-26,NEE
4820,2014-02-24,NEE
4821,2013-07-31,NEE
4822,2015-02-20,NEE
4827,2014-11-07,NEE
4828,2016-02-22,NEE
4829,2015-05-01,NEE
4830,2016-04-29,NEE
4839,2016-07-28,NEE
4840,2016-11-01,NEE
4841,2017-02-23,NEE
4842,2017-10-26,NEE
4854,2018-04-24,NEE
4855,2018-07-25,NEE
4856,2018-10-23,NEE
4857,2019-02-15,NEE
4858,2019-04-23,NEE
4859,2019-07-24,NEE
4860,2020-10-23,NEE
4861,2021-02-12,NEE
4866,2021-07-26,NEE
4870,2021-10-25,NEE
4871,2022-02-18,NEE
4872,2022-04-22,NEE
4873,2022-07-27,NEE
4874,2022-11-03,NEE
4875,2023-02-17,NEE
4877,2010-09-02,CAH
4878,2009-11-09,CAH
4879,2010-02-05,CAH
4880,2010-05-06,CAH
4883,2023-04-26,NEE
4891,2023-07-26,NEE
4892,2023-11-07,NEE
4893,2024-02-16,NEE
4894,2024-04-23,NEE
4895,2024-07-24,NEE
4899,2024-10-23,NEE
4900,2025-02-14,NEE
4901,2025-07-23,NEE
4905,2010-02-26,FITB
4914,2012-05-08,CAH
5035,2020-05-08,EXR
5087,2010-05-24,FLEX
5088,2009-08-04,FLEX
5108,2010-02-02,FLEX
5109,2010-08-05,FLEX
5110,2010-11-03,FLEX
5112,2011-02-02,FLEX
5206,2020-08-06,EXR
5209,2013-11-04,NOW
5255,2009-08-07,CB
5256,2009-11-09,CB
5257,2010-05-07,CB
5262,2010-08-06,CB
5263,2010-11-08,CB
5264,2011-02-25,CB
5265,2012-05-02,CB
5266,2012-10-31,CB
5274,2013-10-30,CB
5275,2015-02-27,CB
5276,2013-05-01,CB
5277,2013-07-31,CB
5279,2014-10-29,CB
5280,2014-05-02,CB
5281,2014-07-30,CB
5282,2015-11-04,CB
5286,2017-02-28,CB
5287,2017-05-04,CB
5288,2016-08-05,CB
5290,2016-11-03,CB
5291,2018-02-23,CB
5292,2018-10-30,CB
5296,2018-05-02,CB
5297,2018-08-01,CB
5299,2019-10-31,CB
5300,2020-02-27,CB
5304,2020-04-29,CB
5305,2020-07-31,CB
5306,2020-10-30,CB
5307,2021-02-25,CB
5308,2023-05-02,CB
5316,2023-07-28,CB
5317,2023-11-01,CB
5322,2024-02-23,CB
5323,2024-04-26,CB
5328,2024-07-26,CB
5329,2024-10-30,CB
5330,2025-02-27,CB
5331,2025-04-28,CB
5334,2026-02-27,CB
5335,2026-04-28,CB
5336,2011-08-09,CBOE
5337,2012-02-28,CBOE
5338,2012-08-07,CBOE
5339,2011-11-08,CBOE
5340,2013-02-28,CBOE
5341,2012-05-08,CBOE
5344,2013-08-06,CBOE
5345,2014-05-06,CBOE
5352,2014-08-06,CBOE
5353,2013-11-05,CBOE
5354,2014-02-21,CBOE
5355,2015-05-06,CBOE
5356,2015-08-06,CBOE
5357,2015-11-03,CBOE
5358,2016-02-19,CBOE
5359,2016-05-03,CBOE
5360,2016-08-02,CBOE
5361,2016-11-08,CBOE
5380,2010-11-04,IFF
5460,2020-11-06,EXR
5530,2023-02-08,FRT
5560,2011-07-25,GPN
5620,2010-05-21,NVDA
5627,2014-11-19,NVDA
5628,2014-03-13,NVDA
5629,2014-05-21,NVDA
5637,2016-03-17,NVDA
5646,2016-11-22,NVDA
5647,2017-03-01,NVDA
5654,2018-11-15,NVDA
5655,2019-02-21,NVDA
5656,2020-08-19,NVDA
5818,2021-11-03,EXR
5838,2025-04-29,INCY
