,as_of,ticker
3967,2021-02-26,MRNA
3968,2022-05-04,MRNA
3971,2011-07-25,HST
3975,2022-08-03,MRNA
3976,2023-11-03,MRNA
3977,2024-02-23,MRNA
3981,2024-05-02,MRNA
3982,2024-08-01,MRNA
3983,2024-11-07,MRNA
4083,2010-02-26,FIS
4088,2009-08-05,FIS
4089,2009-11-05,FIS
4106,2010-02-18,EQT
4127,2010-11-04,BR
4128,2011-02-08,BR
4129,2011-05-10,BR
4139,2011-02-24,ERIE
4140,2010-08-17,ERIE
4271,2009-11-03,HUM
4336,2011-02-10,EXC
4372,2010-03-01,EXE
4413,2009-11-06,BSX
4461,2010-02-23,IBM
4514,2014-05-01,F
4532,2012-05-07,BX
4539,2012-08-07,BX
4540,2012-11-02,BX
4544,2013-03-01,BX
4545,2013-08-08,BX
4546,2013-11-08,BX
4550,2014-02-28,BX
4609,2013-05-08,NCLH
4625,2009-08-06,BXP
4626,2009-11-05,BXP
4629,2010-05-06,BXP
4630,2010-08-06,BXP
4631,2010-11-05,BXP
4632,2010-02-25,BXP
4633,2011-08-08,BXP
4635,2011-11-08,BXP
4636,2012-02-28,BXP
4637,2011-05-09,BXP
4638,2012-08-08,BXP
4641,2012-11-08,BXP
4677,2010-07-15,FDX
4701,2011-02-24,NDAQ
4702,2010-08-04,NDAQ
4703,2010-11-03,NDAQ
4736,2024-08-05,BXP
4737,2024-11-05,BXP
4753,2010-11-23,FFIV
4761,2010-09-08,NDSN
4780,2009-07-31,LLY
4781,2009-10-30,LLY
4790,2010-10-22,IDXX
4791,2011-02-22,IDXX
4801,2009-07-31,NEE
4802,2009-10-30,NEE
4817,2011-04-21,IDXX
4845,2011-11-07,FIX
4877,2010-09-02,CAH
4878,2009-11-09,CAH
4879,2010-02-05,CAH
4880,2010-05-06,CAH
4882,2010-10-29,MOS
4902,2009-10-29,NEM
4905,2010-02-26,FITB
4978,2011-07-27,NFLX
5000,2020-05-11,CARR
5001,2020-07-31,CARR
5027,2010-08-04,FRT
5087,2010-05-24,FLEX
5088,2009-08-04,FLEX
5108,2010-02-02,FLEX
5140,2010-02-19,CAT
5204,2013-03-08,NOW
5208,2013-08-07,NOW
5209,2013-11-04,NOW
5210,2014-02-28,NOW
5216,2014-05-07,NOW
5217,2015-08-06,NOW
5218,2015-11-04,NOW
5219,2015-02-27,NOW
5222,2016-11-04,NOW
5223,2017-02-28,NOW
5224,2016-05-06,NOW
5225,2019-02-27,NOW
5226,2019-08-06,NOW
5230,2019-10-25,NOW
5248,2024-05-06,NOW
5249,2024-07-25,NOW
5336,2011-08-09,CBOE
5337,2012-02-28,CBOE
5338,2012-08-07,CBOE
5339,2011-11-08,CBOE
5340,2013-02-28,CBOE
5341,2012-05-08,CBOE
5342,2019-08-09,FOXA
5343,2019-03-18,FOXA
5344,2013-08-06,CBOE
5345,2014-05-06,CBOE
5352,2014-08-06,CBOE
5353,2013-11-05,CBOE
5354,2014-02-21,CBOE
5355,2015-05-06,CBOE
5356,2015-08-06,CBOE
5357,2015-11-03,CBOE
5358,2016-02-19,CBOE
5359,2016-05-03,CBOE
5360,2016-08-02,CBOE
5361,2016-11-08,CBOE
5362,2017-05-11,CBOE
5363,2019-05-10,FOXA
5365,2017-08-04,CBOE
5366,2017-11-07,CBOE
5380,2010-11-04,IFF
5397,2010-12-06,NTAP
5398,2011-09-01,NTAP
5417,2011-12-05,NTAP
5418,2012-03-05,NTAP
5420,2010-02-16,MAS
5480,2010-11-03,FRT
5523,2014-04-28,NTRS
5524,2014-07-28,NTRS
5525,2014-10-31,NTRS
5531,2015-02-26,NTRS
5532,2015-04-28,NTRS
5536,2015-07-29,NTRS
5537,2015-10-28,NTRS
5538,2016-02-29,NTRS
5539,2016-04-28,NTRS
5540,2016-07-27,NTRS
5544,2017-02-28,NTRS
5545,2017-05-02,NTRS
5546,2017-07-27,NTRS
5547,2017-10-26,NTRS
5548,2021-02-23,NTRS
5552,2021-04-27,NTRS
5553,2021-07-27,NTRS
5554,2021-10-26,NTRS
5555,2022-02-28,NTRS
5556,2022-05-03,NTRS
5560,2011-07-25,GPN
5565,2022-07-26,NTRS
5566,2022-10-25,NTRS
5567,2023-02-28,NTRS
5568,2024-08-01,NTRS
5569,2024-10-29,NTRS
5620,2010-05-21,NVDA
5621,2011-05-27,NVDA
5622,2010-08-30,NVDA
5623,2011-11-22,NVDA
5624,2011-03-16,NVDA
5625,2012-11-19,NVDA
5626,2013-08-21,NVDA
5692,2012-02-22,NVR
5693,2012-04-27,NVR
5694,2011-08-08,NVR
5695,2012-11-01,NVR
5696,2013-04-29,NVR
5697,2013-07-30,NVR
5698,2013-11-01,NVR
5699,2013-02-19,NVR
5700,2014-05-02,NVR
5704,2014-08-01,NVR
5707,2015-05-01,NVR
5708,2015-07-30,NVR
5709,2015-11-06,NVR
5722,2018-05-01,NVR
5723,2018-07-30,NVR
5727,2020-02-19,NVR
5728,2019-11-01,NVR
5733,2020-05-07,NVR
5734,2020-08-03,NVR
5735,2021-02-12,NVR
5736,2021-08-03,NVR
5737,2021-11-02,NVR
5738,2022-02-16,NVR
5739,2022-05-03,NVR
5752,2022-08-03,NVR
5753,2022-11-04,NVR
5754,2023-02-15,NVR
5755,2024-05-06,NVR
5758,2024-11-05,NVR
5759,2025-11-05,NVR
5760,2014-11-06,NWSA
5761,2014-02-07,NWSA
5763,2010-08-04,CDNS
5764,2010-10-29,CDNS
5765,2014-05-09,NWSA
5766,2016-02-05,NWSA
5767,2016-05-06,NWSA
5770,2011-02-24,CDNS
5771,2011-04-29,CDNS
5774,2011-07-29,CDNS
5775,2011-10-28,CDNS
5776,2012-04-27,CDNS
5780,2013-02-21,CDNS
5781,2013-04-25,CDNS
5782,2012-07-26,CDNS
5783,2012-10-25,CDNS
5788,2014-02-20,CDNS
5789,2014-04-21,CDNS
5790,2014-07-21,CDNS
5791,2015-04-27,CDNS
5792,2015-07-27,CDNS
5793,2017-02-10,CDNS
5797,2017-04-25,CDNS
5798,2016-07-25,CDNS
5799,2016-10-24,CDNS
5801,2018-04-25,CDNS
5802,2018-07-23,CDNS
5804,2022-05-03,INCY
5811,2022-08-02,INCY
5814,2019-10-21,CDNS
5815,2020-07-20,CDNS
5819,2023-08-01,INCY
5825,2021-04-26,CDNS
5826,2021-07-26,CDNS
5827,2021-10-25,CDNS
5829,2022-04-25,CDNS
5830,2022-07-25,CDNS
5831,2022-10-24,CDNS
5832,2011-08-04,FTNT
5833,2012-05-07,FTNT
5835,2024-02-14,CDNS
5836,2012-08-08,FTNT
5837,2024-10-29,INCY
5838,2025-04-29,INCY
5840,2010-07-29,O
5841,2011-02-10,O
5842,2024-04-24,CDNS
5843,2024-07-24,CDNS
5844,2025-02-10,INCY
5847,2025-07-30,CDNS
5848,2025-10-29,CDNS
5849,2014-05-07,FTNT
5855,2026-05-01,CDNS
5856,2012-03-09,CDW
5857,2011-09-14,CDW
5858,2011-11-14,CDW
5859,2014-08-05,FTNT
5864,2025-07-29,INCY
5867,2026-04-28,INCY
5875,2015-11-09,FTNT
5876,2009-11-02,INTC
5881,2016-02-26,FTNT
5891,2016-05-06,FTNT
5892,2016-08-05,FTNT
5894,2019-02-27,FTNT
5908,2017-05-03,FTNT
5920,2017-08-02,FTNT
5921,2017-11-02,FTNT
5922,2019-05-08,FTNT
5956,2019-08-01,FTNT
